title,description,keywords,date,duration,views,n_lang,lang,speaker,speaker_job,speaker_about,n_comments
A powerful way to unleash your natural creativity,"What can we learn from the world's most enduringly creative people? They ""slow-motion multitask,"" actively juggling multiple projects and moving between topics as the mood strikes — without feeling hurried. Author Tim Harford shares how innovators like Einstein, Darwin, Twyla Tharp and Michael Crichton found their inspiration and productivity through cross-training their minds.","creativity, mind, success, productivity, motivation, work, personal growth",November 2018,1041.0,145837,5,en | pt-BR | es | zh-Hans | ar,Tim Harford,"Economist, journalist, broadcaster",Tim Harford's writings reveal the economic ideas behind everyday experiences.,2
The disarming case to act right now on climate,"Stockholm native Greta Thunberg first heard about climate change when she was 8 years old. She absorbed the solutions adults threw at her — recycle paper, study the data, train to be a climate scientist. None of it felt like enough. ""What's the point of learning facts in the school system,"" she asks, ""when the finest science from that system means nothing to our politicians and society?"" In this passionate call to action, Greta explains why, in August 2018, she walked out of school and stood firm outside the Swedish parliament in an effort to prompt change. As she says: ""We have all the facts and solutions. All we have to do is wake up and change.""","sustainability, climate change, education",November 2018,0,0,8,en | nl | it | sk | fr | de | hr | cs,Greta Thunberg,Greta Thunberg,"Greta is a 15-year-old Stockholm native who lives at home with her parents and sister Beata. She’s a 9th grader in Stockholm who enjoys spending her spare time riding Icelandic horses, spending time with her families two dogs, Moses and Roxy. She love animals and has a passion for books and science. At a young age, she became interested in the environment and convinced her family to adopt a sustainable lifestyle.",
"""Autopilote"" / ""Pumper""","Singing in French and English, Mai Lan brings her cool charisma to the TED stage in a performance of her songs ""Autopilote"" and ""Pumper.""","music, live music, performance art, performance",September 2018,548.0,16441,1,en,Mai Lan,Artist,Mai Lan is a French-Vietnamese artist and musician.,
How CRISPR lets you edit DNA,"From the smallest single-celled organism to the largest creatures on Earth, every living thing is defined by its genes. With recent advancements, scientists can change an organism's fundamental features in record time using gene editing tools such as CRISPR. But where did this medical marvel come from and how does it work? Andrea M. Henle examines the science behind this new technology. [Directed by Adam Wells, narrated by Susan Zimmerman, music by Chris Reed].","animation, DNA, TED-Ed, CRISPR, biology, invention, science, genetics, medicine, medical research",January 2019,311.0,0,1,en,Andrea M. Henle,Educator,,
"Stunning buildings made from raw, imperfect materials","What would it take to reimagine the limits of architecture? Débora Mesa Molina offers some answers in this breathtaking, visual tour of her work, showing how structures can be made with overlooked materials and unconventional methods — or even extracted from the guts of the earth. ""The world around us is an infinite source of inspiration if we are curious enough to see beneath the surface of things,"" she says.","architecture, creativity, design, technology, innovation, nature, materials, beauty",November 2018,728.0,51666,1,en,Débora Mesa Molina,Architect,Débora Mesa Molina makes space for experimentation in a highly regulated profession.,3
What sticky sea creatures can teach us about making glue,"What if we could harness the sticking powers of sea creatures like mussels, oysters and barnacles, which refuse to budge even on wet, stormy coastlines? Dive into the wonderful world of animals that make their own glue and cement with scientist Jonathan Wilker — and preview some of the amazing things we can learn from how they do it.","oceans, technology, marine biology, biosphere, science, TEDx, animals, chemistry, biodiversity, biology, water, nature",March 2018,839.0,41367,1,en,Jonathan Wilker,"Scientist, engineer",Jonathan Wilker explores the science and engineering happening within our oceans. He works to understand the ways that sea creatures survive and how we can adapt their technologies to create new materials.,2
The power of appreciation ,"In this humorous and thought-provoking talk at TEDxBellevue, Mike talks about ""The Power of Appreciation."" As Mike discusses, there is an important distinction between ""recognition"" and ""appreciation."" Leaders, teams, organizations, and individuals who understand this distinction can have much more impact, meaning, and productivity in their lives and with the people around them.  He also discusses important research in the field of positive psychology that exemplifies the importance of appreciation.","personal growth, leadership, work, happiness, psychology",September 2013,0,0,0,,Mike Robbins,,,
How we see color,"There are three types of color receptors in your eye: red, green and blue. But how do we see the amazing kaleidoscope of other colors that make up our world? Colm Kelleher explains how humans can see everything from auburn to aquamarine. [Directed by Jeremiah Dickey, narrated by Colm Kelleher].","science, animation, TED-Ed, sight",January 2013,211.0,528037,24,en | vi | it | ar | pt-BR | es | ru | pt | zh-Hant | nb | tr | zh-Hans | th | ro | pl | fr | bg | uk | de | fa | ja | he | ko | sk,Colm Kelleher,Educator,,
What's needed to bring the US voting system into the 21st century,"The American election system is complicated, to say the least — but voting is one of the most tangible ways that each of us can shape our communities. How can we make the system more modern, inclusive and secure? Civic engagement champion Tiana Epps-Johnson shares what's needed to bring voting in the US into the 21st century — and to get every person to the polls.","democracy, community, politics, society, United States, technology, social change, government",November 2018,689.0,508515,1,en,Tiana Epps-Johnson,Civic engagement champion,"Tiana Epps-Johnson works to make the US election system more modern, inclusive and secure.",18
"Why should you read ""Fahrenheit 451""?","Ray Bradbury's novel imagines a world where books are banned- and possessing, let alone reading them, is forbidden.The protagonist, Montag, is a fireman responsible for destroying what remains. The story raises the question: how can you preserve your mind in a society where free will, self-expression and curiosity are under fire? Iseult Gillespie examines what makes the dystopian novel a classic. [Directed by Anton Bogaty, narrated by Addison Anderson, music by WORKPLAYWORK and Cem Misirlioglu]. ","TED-Ed, literature, books, animation",January 2019,262.0,0,2,en | pt-BR,Iseult Gillespie,Educator,,
